Time,IMS-RP
0,0,0
180,0
360,0
540,0
720,0
900,0
1080,0
1260,0
1440,0
1620,0
1800,0
1980,0
2160,0
2340,0
2520,0
2700,0
2880,0
3060,0
3240,0
3420,0
3600,0
3780,0
3960,0
4140,0
4320,0
4500,0
4680,0
4860,0
5040,0
5220,0
5400,0
5580,0
5760,0
5940,0
6120,0
6300,0
6480,0
6660,0
6840,0
7020,0
7200,0
7380,0
7560,0
7740,0
7920,0
8100,0
8280,0
8460,0
8640,0
8820,0
9000,0
9180,0
9360,0
9540,0.0025
9720,0.1192
9900,0.8808
10080,0.9975
10260,1
10440,1
10620,1
10800,1
10980,1
11160,1
11340,1
11520,1
11700,1
11880,1
12060,1
12240,1
12420,1
12600,1
12780,1
12960,1
13140,1
13320,1
13500,1
13680,1
13860,1
14040,1
14220,1
14400,1
14580,1
14760,1
14940,1
15120,1
15300,1
15480,1
15660,1
15840,1
16020,1
16200,1
16380,1
16560,1
16740,1
16920,1
17100,1
17280,1
17460,1
17640,1
17820,1
18000,1
18180,1
18360,1
18540,1
18720,1
18900,1
19080,1
19260,1
19440,1
19620,1
19800,1
19980,1
20160,1
